#,Title,Authors,Journal,Year,DOI
1,Order Flow and Liquidity around NYSE Trading Halts,Shane A. Corwin; Marc L. Lipson,Journal of Finance,2000,10.1111/0022-1082.00267
2,"Nasdaq Trading Halts: The Impact of Market Mechanisms on Prices, Trading Activity, and Execution Costs",William G. Christie; Shane A. Corwin; Jeffrey H. Harris,Journal of Finance,2002,10.1111/1540-6261.00466
3,"Regulation Fair Disclosure and Earnings Information: Market, Analyst, and Corporate Responses",Warren Bailey; Haitao Li; Connie X. Mao; Rui Zhong,Journal of Finance,2003,10.1046/j.1540-6261.2003.00613.x
4,Investor Protection and Firm Liquidity,Paul Brockman; Dennis Y. Chung,Journal of Finance,2003,10.1111/1540-6261.00551
5,Market Maker Quotation Behavior and Pretrade Transparency,Yusif Simaan; Daniel G. Weaver; David K. Whitcomb,Journal of Finance,2003,10.1111/1540-6261.00565
6,Toward a National Market System for U.S. Exchange–listed Equity Options,Robert H. Battalio; Brian Hatch; Robert H. Jennings,Journal of Finance,2004,10.1111/j.1540-6261.2004.00653.x
7,Insider Trading Restrictions and Analysts' Incentives to Follow Firms,Robert M. Bushman; Joseph D. Piotroski; Abbie J. Smith,Journal of Finance,2005,10.1111/j.1540-6261.2005.00724.x
8,Corporate Governance and Risk‐Taking,Kose John; Lubomir P. Litov; Bernard Yeung,Journal of Finance,2008,10.1111/j.1540-6261.2008.01372.x
9,“You Can Enter but You Cannot Leave…”: U.S. Securities Markets and Foreign Firms,András Marosi; Nadia Massoud,Journal of Finance,2008,10.1111/j.1540-6261.2008.01402.x
10,Mandatory Disclosure and Operational Risk: Evidence from Hedge Fund Registration,Stephen J. Brown; William N. Goetzmann; Bing Liang; Christopher G. Schwarz,Journal of Finance,2008,10.1111/j.1540-6261.2008.01413.x
11,"Creditor Rights, Enforcement, and Bank Loans",Kee‐Hong Bae; Vidhan K. Goyal,Journal of Finance,2009,10.1111/j.1540-6261.2009.01450.x
12,Labor and Corporate Governance: International Evidence from Restructuring Decisions,Julian Atanassov; E. HAN KIM,Journal of Finance,2009,10.1111/j.1540-6261.2008.01436.x
13,It's SHO Time! Short‐Sale Price Tests and Market Quality,Karl B. Diether; Kuan‐Hui Lee; Ingrid M. Werner,Journal of Finance,2009,10.1111/j.1540-6261.2008.01428.x
14,"The Effect of SOX Section 404: Costs, Earnings Quality, and Stock Prices",Peter Iliev,Journal of Finance,2010,10.1111/j.1540-6261.2010.01564.x
15,Information Disclosure and Corporate Governance,Benjamin E. Hermalin; Michael S. Weisbach,Journal of Finance,2012,10.1111/j.1540-6261.2011.01710.x
16,CEO Compensation and Board Structure Revisited,Katherine Guthrie; Jan Sokolowsky; Kam-Ming Wan,Journal of Finance,2012,10.1111/j.1540-6261.2012.01744.x
17,"Why Does the Law Matter? Investor Protection and Its Effects on Investment, Finance, and Growth",R. David McLean; Tianyu Zhang; Mengxin Zhao,Journal of Finance,2012,10.1111/j.1540-6261.2011.01713.x
18,Does Stock Liquidity Enhance or Impede Firm Innovation?,Vivian W. Fang; XUAN TIAN; Sheri Tice,Journal of Finance,2014,10.1111/jofi.12187
19,Regulatory Arbitrage and Cross‐Border Bank Acquisitions,George Andrew Karolyi; Alvaro G. Taboada,Journal of Finance,2015,10.1111/jofi.12262
20,"Mandatory Portfolio Disclosure, Stock Liquidity, and Mutual Fund Performance",Vikas Agarwal; Kevin Mullally; Yuehua Tang; Baozhong Yang,Journal of Finance,2015,10.1111/jofi.12245
21,Who Borrows from the Lender of Last Resort?,Itamar Drechsler; Thomas Drechsel; David Marqués-Ibáñez; Philipp Schnabl,Journal of Finance,2016,10.1111/jofi.12421
22,Women's Liberation as a Financial Innovation,Moshe Hazan; David Weiss; Hosny Zoabi,Journal of Finance,2019,10.1111/jofi.12829
23,Political Connections and the Informativeness of Insider Trades,Alan D. Jagolinzer; David F. Larcker; Gaizka Ormazábal; Daniel J. Taylor,Journal of Finance,2020,10.1111/jofi.12899
24,The Forced Safety Effect: How Higher Capital Requirements Can Increase Bank Lending,Saleem Bahaj; Frédéric Malherbe,Journal of Finance,2020,10.1111/jofi.12958
25,Leverage Regulation and Market Structure: A Structural Model of the U.K. Mortgage Market,Matteo Benetton,Journal of Finance,2021,10.1111/jofi.13072
26,Currency Mispricing and Dealer Balance Sheets,Gino Cenedese; Pasquale Della Corte; Tianyu Wang,Journal of Finance,2021,10.1111/jofi.13079
27,The Limits of Model‐Based Regulation,Markus Behn; Rainer Haselmann; Vikrant Vig,Journal of Finance,2022,10.1111/jofi.13124
28,Legal Risk and Insider Trading,Marcin Kacperczyk; Emiliano Pagnotta,Journal of Finance,2023,10.1111/jofi.13299
29,The Dark Side of Circuit Breakers,Hui Chen; Anton N. Petukhov; Jiang Wang; Hao Xing,Journal of Finance,2024,10.1111/jofi.13310
30,Did Banks Pay Fair Returns to Taxpayers on TARP?,Thomas Flanagan; Amiyatosh Purnanandam,Journal of Finance,2024,10.1111/jofi.13367
31,"Eighths, sixteenths, and market depth: changes in tick size and liquidity provision on the NYSE",Michael A. Goldstein; Kenneth A. Kavajecz,Journal of Financial Economics,2000,10.1016/s0304-405x(99)00061-6
32,Pay for performance? Government regulation and the structure of compensation contracts,Tod Perry; Marc Zenner,Journal of Financial Economics,2001,10.1016/s0304-405x(01)00083-6
33,Institutional trading and alternative trading systems,Jennifer Conrad; Kevin M. Johnson; Sunil Wahal,Journal of Financial Economics,2003,10.1016/s0304-405x(03)00143-0
34,"Tick size, NYSE rule 118, and ex-dividend day stock price behavior",Keith Jakob; Tongshu Ma,Journal of Financial Economics,2003,10.1016/s0304-405x(03)00189-2
35,Cross-country determinants of mergers and acquisitions,Stefano Rossi; Paolo F. Volpin,Journal of Financial Economics,2004,10.1016/j.jfineco.2003.10.001
36,What happened to liquidity when world war I shut the NYSE?,William L. Silber,Journal of Financial Economics,2005,10.1016/j.jfineco.2005.02.005
37,The impact of regulation on market risk,Paul A. Grout; Anna Zalewska,Journal of Financial Economics,2005,10.1016/j.jfineco.2005.02.006
38,An equilibrium model of incentive contracts in the presence of information manipulation,Eitan Goldman; Steve L. Slezak,Journal of Financial Economics,2006,10.1016/j.jfineco.2005.05.007
39,The economic consequences of increased disclosure: Evidence from international cross-listings☆,Warren Bailey; G ANDREWKAROLYI; Carolina Salva,Journal of Financial Economics,2006,10.1016/j.jfineco.2005.06.002
40,Liquidity and market efficiency☆,Tarun Chordia; Richard Roll; Avanidhar Subrahmanyam,Journal of Financial Economics,2007,10.1016/j.jfineco.2007.03.005
41,Does backdating explain the stock price pattern around executive stock option grants?,Randall A. Heron; Erik Lie,Journal of Financial Economics,2007,10.1016/j.jfineco.2005.12.003
42,"Creditor rights, information sharing, and bank risk taking",Joel F. Houston; Chen-Ta Lin; Ping Lin; Yue Ma,Journal of Financial Economics,2010,10.1016/j.jfineco.2010.02.008
43,The Sarbanes-Oxley act and corporate investment: A structural assessment☆,Qiang Kang; Qiao Liu; Rong Qi,Journal of Financial Economics,2010,10.1016/j.jfineco.2010.02.002
44,Regulatory pressure and fire sales in the corporate bond market,Andrew Ellul; Chotibhak Jotikasthira; Christian Lundblad,Journal of Financial Economics,2011,10.1016/j.jfineco.2011.03.020
45,The price of liquidity: The effects of market conditions and bank characteristics,Falko Fecht; Kjell G. Nyborg; Jörg Rocholl,Journal of Financial Economics,2011,10.1016/j.jfineco.2011.05.015
46,The politics of government investment,Ran Duchin; Denis Sosyura,Journal of Financial Economics,2012,10.1016/j.jfineco.2012.04.009
47,The impact of investor protection law on corporate policy and performance: Evidence from the blue sky laws,Ashwini K. Agrawal,Journal of Financial Economics,2012,10.1016/j.jfineco.2012.08.019
48,Worldwide reach of short selling regulations,Archana Jain; Pankaj K. Jain; Thomas H. McInish; Michael D. McKenzie,Journal of Financial Economics,2013,10.1016/j.jfineco.2013.02.012
49,Do personal taxes affect capital structure? Evidence from the 2003 tax cut,Leming Lin; Mark J. Flannery,Journal of Financial Economics,2013,10.1016/j.jfineco.2013.03.010
50,"Safer ratios, riskier portfolios: Banks׳ response to government aid",Ran Duchin; Denis Sosyura,Journal of Financial Economics,2014,10.1016/j.jfineco.2014.03.005
51,The international transmission of bank capital requirements: Evidence from the UK,Shekhar Aiyar; Charles W. Calomiris; John Hooley; Yevgeniya Korniyenko; Tomasz Wieladek,Journal of Financial Economics,2014,10.1016/j.jfineco.2014.05.003
52,"Trading rules, competition for order flow and market fragmentation",Amy Kwan; Ronald W. Masulis; Thomas H. McInish,Journal of Financial Economics,2014,10.1016/j.jfineco.2014.09.010
53,Impact of the Dodd-Frank act on credit ratings,Valentin Dimitrov; Darius Palia; Leo Tang,Journal of Financial Economics,2014,10.1016/j.jfineco.2014.10.012
54,Government ownership and the cost of debt: Evidence from government investments in publicly traded firms,Ginka Borisova; Veljko Fotak; Kateryna V. Holland; William L. Megginson,Journal of Financial Economics,2015,10.1016/j.jfineco.2015.06.011
55,Bankruptcy law and bank financing,Giacomo Rodano; Nicolas Serrano-Velarde; Emanuele Tarantino,Journal of Financial Economics,2016,10.1016/j.jfineco.2016.01.016
56,Taxes and bank capital structure,Glenn Schepens,Journal of Financial Economics,2016,10.1016/j.jfineco.2016.01.015
57,Should we be afraid of the dark? Dark trading and market quality,Sean Foley; Tālis J. Putniņš,Journal of Financial Economics,2016,10.1016/j.jfineco.2016.08.004
58,Does Dodd-Frank affect OTC transaction costs and liquidity? Evidence from real-time CDS trade reports,Yee Cheng Loon; Zhaodong Zhong,Journal of Financial Economics,2016,10.1016/j.jfineco.2016.01.019
59,Mortgage companies and regulatory arbitrage,Yuliya Demyanyk; Elena Loutskina,Journal of Financial Economics,2016,10.1016/j.jfineco.2016.07.003
60,Stock liquidity and default risk,Jonathan Brogaard; Dan Li; Ying Xia,Journal of Financial Economics,2017,10.1016/j.jfineco.2017.03.003
61,Bank rescues and bailout expectations: The erosion of market discipline during the financial crisis,Florian Hett; Alexander Schmidt,Journal of Financial Economics,2017,10.1016/j.jfineco.2017.10.003
62,The Volcker Rule and corporate bond market making in times of stress,Jack Bao; Maureen O’Hara; Xing Zhou,Journal of Financial Economics,2018,10.1016/j.jfineco.2018.06.001
63,Quantitative easing auctions of Treasury bonds,Zhaogang Song; Haoxiang Zhu,Journal of Financial Economics,2018,10.1016/j.jfineco.2018.02.004
64,Managing stigma during a financial crisis,Sriya Anbil,Journal of Financial Economics,2018,10.1016/j.jfineco.2017.05.014
65,A capital structure channel of monetary policy,Benjamin Grosse-Rueschkamp; Sascha Steffen; Daniel Streitz,Journal of Financial Economics,2019,10.1016/j.jfineco.2019.03.006
66,Quantify the quantitative easing: Impact on bonds and corporate debt issuance,Karamfil Todorov,Journal of Financial Economics,2019,10.1016/j.jfineco.2019.08.003
67,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",Kee H. Chung; Albert J. Lee; Dominik Rösch,Journal of Financial Economics,2019,10.1016/j.jfineco.2019.11.004
68,Employment effects of unconventional monetary policy: Evidence from QE,Stephan Luck; Tom Zimmermann,Journal of Financial Economics,2019,10.1016/j.jfineco.2019.07.004
69,"Inverted fee structures, tick size, and market quality",Carole Comerton‐Forde; Vincent Grégoire; Zhuo Zhong,Journal of Financial Economics,2019,10.1016/j.jfineco.2019.03.005
70,The value of collateral in trade finance,Anna M. Costello,Journal of Financial Economics,2019,10.1016/j.jfineco.2018.07.018
71,Potential pilot problems: Treatment spillovers in financial regulatory experiments,Ekkehart Boehmer; Charles M. Jones; Xiaoyan Zhang,Journal of Financial Economics,2019,10.1016/j.jfineco.2019.05.016
72,Risky bank guarantees,Taneli Mäkinen; Lucio Sarno; Gabriele Zinna,Journal of Financial Economics,2019,10.1016/j.jfineco.2019.10.005
73,I can see clearly now: The impact of disclosure requirements on 401(k) fees,Dominique C. Badoer; Charles P. Costello; Christopher M. James,Journal of Financial Economics,2019,10.1016/j.jfineco.2019.10.001
74,The price effects of liquidity shocks: A study of the SEC’s tick size experiment,Rui Albuquerque; Shiyun Song; Chen Yao,Journal of Financial Economics,2020,10.1016/j.jfineco.2020.07.002
75,Politicizing consumer credit,Pat Akey; Rawley Heimer; Stefan Lewellen,Journal of Financial Economics,2020,10.1016/j.jfineco.2020.07.017
76,Flying under the radar: The effects of short-sale disclosure rules on investor behavior and stock prices,Stephan Jank; Christoph Roling; Esad Smajlbegovic,Journal of Financial Economics,2020,10.1016/j.jfineco.2020.07.010
77,The scarcity effect of QE on repo rates: Evidence from the euro area,William Arrata; Benoît Nguyen; Imène Rahmouni-Rousseau; Miklos Vari,Journal of Financial Economics,2020,10.1016/j.jfineco.2020.04.009
78,Regulatory cooperation and foreign portfolio investment,Mark H. Lang; Mark G. Maffett; James D. Omartian; Roger Silvers,Journal of Financial Economics,2020,10.1016/j.jfineco.2020.04.016
79,Swap trading after Dodd-Frank: Evidence from index CDS,Lynn Riggs; Esen Onur; David Reiffen; Haoxiang Zhu,Journal of Financial Economics,2020,10.1016/j.jfineco.2020.03.008
80,Investors’ appetite for money-like assets: The MMF industry after the 2014 regulatory reform,Marco Cipriani; Gabriele La Spada,Journal of Financial Economics,2020,10.1016/j.jfineco.2020.11.005
81,Measuring institutional trading costs and the implications for finance research: The case of tick size reductions,Gregory W. Eaton; Paul J. Irvine; Tingting Liu,Journal of Financial Economics,2020,10.1016/j.jfineco.2020.09.003
82,The hidden costs of being public: Evidence from multinational firms operating in an emerging market,Pablo Slutzky,Journal of Financial Economics,2020,10.1016/j.jfineco.2020.08.001
83,Expansionary yet different: Credit supply and real effects of negative interest rate policy,Margherita Bottero; Camelia Minoiu; José‐Luis Peydró; Andrea Polo; Andrea Presbitero; Enrico Sette,Journal of Financial Economics,2021,10.1016/j.jfineco.2021.11.004
84,The design and transmission of central bank liquidity provisions,Luisa Carpinelli; Matteo Crosignani,Journal of Financial Economics,2021,10.1016/j.jfineco.2020.06.025
85,Compensation disclosures and strategic commitment: Evidence from revenue-based pay,Matthew J. Bloomfield,Journal of Financial Economics,2021,10.1016/j.jfineco.2021.04.006
86,Regulatory transparency and the alignment of private and public enforcement: Evidence from the public disclosure of SEC comment letters,Amy P. Hutton; Susan Shu; Xin Zheng,Journal of Financial Economics,2021,10.1016/j.jfineco.2021.07.011
87,Finance and the supply of housing quality,Michael Reher,Journal of Financial Economics,2021,10.1016/j.jfineco.2021.04.022
88,Flying below the radar: Insider trading by executives below the top,Hans K. Hvide; Kasper Meisner Nielsen,Journal of Financial Economics,2021,10.1016/j.jfineco.2026.104282
89,Bank transparency and deposit flows,Qi Chen; Itay Goldstein; Zeqiong Huang; Rahul Vashishtha,Journal of Financial Economics,2022,10.1016/j.jfineco.2022.07.009
90,"Creditor rights, collateral reuse, and credit supply",Brittany Lewis,Journal of Financial Economics,2023,10.1016/j.jfineco.2023.06.001
91,Stress tests and model monoculture,Keeyoung Rhee; Keshav Dogra,Journal of Financial Economics,2023,10.1016/j.jfineco.2023.103760
92,Portfolio pumping in mutual fund families,Pingle Wang,Journal of Financial Economics,2024,10.1016/j.jfineco.2024.103839
93,Disclosing and cooling-off: An analysis of insider trading rules,Jun Deng; Huifeng Pan; Hongjun Yan; Liyan Yang,Journal of Financial Economics,2024,10.1016/j.jfineco.2024.103913
94,The cross-border effects of bank capital regulation,Saleem Bahaj; Frédéric Malherbe,Journal of Financial Economics,2024,10.1016/j.jfineco.2024.103912
95,Government Intervention and Adverse Selection Costs in Foreign Exchange Markets,Andy Naranjo; Mahendrarajah Nimalendran,Review of Financial Studies,2000,10.1093/rfs/13.2.453
96,Optimal Consumption and Investment with Capital Gains Taxes,Robert M. Dammon; Chester S. Spatt; Harold H. Zhang,Review of Financial Studies,2001,10.1093/rfs/14.3.583
97,"Island Goes Dark: Transparency, Fragmentation, and Regulation",Terrence Hendershott; Charles M. Jones,Review of Financial Studies,2005,10.1093/rfs/hhi013
98,Public Disclosure and Private Decisions: Equity Market Execution Quality and Order Routing,Ekkehart Boehmer; Robert H. Jennings; Wei Li,Review of Financial Studies,2006,10.1093/rfs/hhl011
99,Insider Trades and Private Information: The Special Case of Delayed-Disclosure Trades,Shijun Cheng; Venky Nagar; Madhav V. Rajan,Review of Financial Studies,2007,10.1093/rfs/hhm029
100,The Effects and Unintended Consequences of the Sarbanes-Oxley Act on the Supply and Demand for Directors,James S. Linck; Jeffry M. Netter; Tina Yang,Review of Financial Studies,2008,10.1093/rfs/hhn084
101,Insider Trading Laws and Stock Price Informativeness,Nuno Fernandes; Miguel A. Ferreira,Review of Financial Studies,2008,10.1093/rfs/hhn066
102,Bankruptcy Codes and Innovation,Viral V. Acharya; Krishnamurthy Subramanian,Review of Financial Studies,2009,10.1093/rfs/hhp019
103,Convertible Bond Arbitrageurs as Suppliers of Capital,Darwin Choi; Mila Getmansky; Brian J. Henderson; Heather Tookes,Review of Financial Studies,2010,10.1093/rfs/hhq003
104,Effects of Central Bank Intervention on the Interbank Market During the Subprime Crisis,Celso Brunetti; Mario di Filippo; Jeffrey H. Harris,Review of Financial Studies,2010,10.1093/rfs/hhq123
105,Assessing TARP,Dinara Bayazitova; Anil Shivdasani,Review of Financial Studies,2011,10.1093/rfs/hhr121
106,Bank Bailouts and Moral Hazard: Evidence from Germany,Lammertjan Dam; Michael Koetter,Review of Financial Studies,2012,10.1093/rfs/hhs056
107,Is Disclosure an Effective Cleansing Mechanism? The Dynamics of Compensation Peer Benchmarking,Michael W. Faulkender; Jun Yang,Review of Financial Studies,2012,10.1093/rfs/hhs115
108,Shackling Short Sellers: The 2008 Shorting Ban,Ekkehart Boehmer; Charles M. Jones; Xiaoyan Zhang,Review of Financial Studies,2013,10.1093/rfs/hht017
109,"Opaque Trading, Disclosure, and Asset Prices: Implications for Hedge Fund Regulation",David Easley; Maureen O’Hara; Liyan Yang,Review of Financial Studies,2013,10.1093/rfs/hht079
110,The Ownership of Japanese Corporations in the 20th Century,Julian Franks; Colin Mayer; Hideaki Miyajima,Review of Financial Studies,2014,10.1093/rfs/hhu018
