filter,sample,subset,N,N_papers,pct_sig,below,above,caliper_ratio,caliper_chi2,caliper_p,p_boot,p_perm,p_ttest,boot_ci_lo,boot_ci_hi
all_statistics,published,Full sample,7761,108,57.1,611,508,1.203,9.48,0.002,0.15,0.001,0.954,0.883,1.662
all_statistics,published,Positive-finding,2633,37,60.7,177,188,0.941,0.33,0.565,0.623,0.732,0.883,0.696,1.288
all_statistics,published,Negative-finding,3491,50,54.9,318,209,1.522,22.54,0.0,0.135,0.0,0.829,0.809,2.665
all_statistics,published,Null-finding,1637,21,56.1,116,111,1.045,0.11,0.74,0.383,0.388,0.949,0.738,1.413
all_statistics,nber,Full sample,8351,106,55.5,501,495,1.012,0.04,0.849,0.432,0.424,0.02,0.843,1.222
all_statistics,nber,Positive-finding,2658,39,55.0,189,191,0.99,0.01,0.918,0.492,0.554,0.217,0.731,1.382
all_statistics,nber,Negative-finding,4375,50,57.0,239,240,0.996,0.0,0.964,0.474,0.532,0.131,0.769,1.31
all_statistics,nber,Null-finding,1318,17,51.4,73,64,1.141,0.59,0.442,0.26,0.239,0.203,0.747,1.709
non_control,published,Full sample,7055,108,56.9,563,468,1.203,8.75,0.003,0.161,0.001,0.566,0.867,1.69
non_control,published,Positive-finding,2409,37,60.6,164,177,0.927,0.5,0.481,0.637,0.769,0.553,0.657,1.329
non_control,published,Negative-finding,3139,50,54.4,299,184,1.625,27.38,0.0,0.121,0.0,0.535,0.843,2.899
non_control,published,Null-finding,1507,21,56.1,100,107,0.935,0.24,0.627,0.659,0.702,0.521,0.66,1.243
non_control,nber,Full sample,7599,104,55.0,456,465,0.981,0.09,0.767,0.561,0.625,0.02,0.817,1.183
non_control,nber,Positive-finding,2460,37,54.3,177,181,0.978,0.04,0.833,0.512,0.597,0.144,0.716,1.377
non_control,nber,Negative-finding,3981,50,56.4,214,224,0.955,0.23,0.633,0.614,0.693,0.151,0.736,1.242
non_control,nber,Null-finding,1158,17,51.6,65,60,1.083,0.2,0.655,0.323,0.353,0.287,0.716,1.635
