corpus,title,year,table,variable,coef,se,z_abs_extracted,stars,spec,paper_id_nber,verified_ok,pdf_z_abs,comment
published,Deposit Insurance and Depositor Behavior: Evidence from Colombia,2022,Table 3,Bin1 × Policyt × Hi,-0.002,0.016,0.125,,Col (3),,,,
published,The Ownership of Japanese Corporations in the 20th Century,2014,Table 9,Keiretsu membership dummy,-0.05,,2.17,**,Col (5),,,,
published,Potential pilot problems: Treatment spillovers in financial regulatory experiments,2019,Table 2,Share of cases converted,0.589,0.066,8.924,***,Col (2),,,,
published,Taxes and leverage at multinational corporations,2016,Table 9,Mb,-0.0242,0.0059,4.102,***,Col III,,,,
published,Information Revealed through the Regulatory Process: Interactions between the SEC and Companies ahead of Their IPO,2020,Table 3,UWrank,-0.025,0.012,2.083,**,Col (8),,,,
published,Women's Liberation as a Financial Innovation,2019,Table VIII,2 Decades Before,0.013,0.014,0.929,,Col (6),,,,
published,Has New York become less competitive than London in global markets? Evaluating foreign listing choices over time☆,2008,Table 8 Panel A,USRule144a,0.07,,0.47,,1999,,,,
published,I can see clearly now: The impact of disclosure requirements on 401(k) fees,2019,Table 9,New fund ×Post,0.008,0.0178,0.45,,Col (2),,,,
published,The effects of disclosure and enforcement on payday lending in Texas,2021,Table 5,"Fund Flow i,t+1",0.021,0.009,2.4,**,Col (9) - Domestic,,,,
published,Freeze! Financial Sanctions and Bank Responses,2023,Table 7,EU/UN sanctions (Branches),-0.037,0.438,0.084,,Col (4),,,,
published,Ownership: Evolution and Regulation,2008,Table 10,Disclosure standards,0.26,0.069,3.768,a,Col (2),,,,
published,Insider Trading Laws and Stock Price Informativeness,2008,Table 3,ENFORCE,0.6216,0.0714,8.71,***,"Panel A, Col (3)",,,,
published,Regulatory cooperation and foreign portfolio investment,2020,Table 4,XMarketCap_it/LMarketCap_it × 100 × HighTrust_ij,-0.1207,0.1607,0.751,,Col (4),,,,
published,Regulatory cooperation and foreign portfolio investment,2020,"Panel B, Table 1",XMarketCap_itl/LMarketCap_itl × 100,0.0649,0.0506,1.282,*,Col (1),,,,
published,Bankruptcy law and bank financing,2016,Table 8,Interim Period × Exposed,0.001,0.002,0.5,,Number of banks (a),,,,
published,"Effectiveness of Capital Regulation at U.S. Commercial Banks, 1985 to 1994",2000,"Table VI, Panel B",Δσ_v × (1992-94 dummy),0.012,,0.3,,"IMM1, Δ(B/V)",,,,
published,I can see clearly now: The impact of disclosure requirements on 401(k) fees,2019,Table 9,Mutual funds (%),0.001,0.0007,1.51,,Col (4),,,,
published,Inspecting the mechanism of quantitative easing in the euro area,2020,Table 4,"BBB, 0-2y",-0.108,0.082,1.317,,Panel A,,,,
published,The Sarbanes-Oxley act and corporate investment: A structural assessment☆,2010,Table 5,a2,0.777,0.796,0.976,,Col (4) By E-index Bottom one-third,,,,
