paper_id,title,year,source,corpus,n_stats,nber_wp_number
10.1111/j.1540-6261.2011.01710.x,Information Disclosure and Corporate Governance,2012,jf,published,0,
10.1111/jofi.12958,The Forced Safety Effect: How Higher Capital Requirements Can Increase Bank Lending,2020,jf,published,0,
10.1111/j.1540-6261.2004.00653.x,Toward a National Market System for U.S. Exchange–listed Equity Options,2004,jf,published,0,
10.1093/rfs/hhw022,The Shadow Cost of Bank Capital Requirements,2016,rfs,published,0,
10.1093/rfs/hhaa032,Rules versus Discretion in Bank Resolution,2020,rfs,published,0,
10.1093/rfs/hht079,"Opaque Trading, Disclosure, and Asset Prices: Implications for Hedge Fund Regulation",2013,rfs,published,0,
10.1093/rfs/hhx083,Distributional Implications of Government Guarantees in Mortgage Markets,2017,rfs,published,0,
10.1093/rfs/hhaa055,Overcoming Discount Window Stigma: An Experimental Investigation,2020,rfs,published,0,
10.1093/rfs/hhad086,Stress Testing and Bank Lending,2023,rfs,published,0,
10.1016/s0304-405x(99)00061-6,"Eighths, sixteenths, and market depth: changes in tick size and liquidity provision on the NYSE",2000,jfe,published,0,
10.1016/j.jfineco.2010.03.011,Paulson's gift,2010,jfe,published,0,
10.1016/j.jfineco.2024.103913,Disclosing and cooling-off: An analysis of insider trading rules,2024,jfe,published,0,
10.1016/j.jfineco.2024.103912,The cross-border effects of bank capital regulation,2024,jfe,published,0,
w12719,A Comment Concerning Deposit Insurance and Moral Hazard,2006,,nber,0,w12719
w14576,Evidence of Improved Monitoring and Insolvency Resolution after FDICIA,2008,,nber,0,w14576
w15281,Means-Tested Mortgage Modification: Homes Saved or Income Destroyed?,2009,,nber,0,w15281
w15565,Quantitative Easing: A Rationale and Some Evidence from Japan,2009,,nber,0,w15565
w16763,The Promise and Performance of the Federal Reserve as Lender of Last Resort 1914-1933,2011,,nber,0,w16763
w17149,Too-Systemic-To-Fail: What Option Markets Imply About Sector-wide Government Guarantees,2011,,nber,0,w17149
w17537,Housing and the Macroeconomy: The Role of Bailout Guarantees for Government Sponsored Enterprises,2011,,nber,0,w17537
w18587,Efficient Bailouts?,2012,,nber,0,w18587
w21328,Mandatory Disclosure and Financial Contagion,2015,,nber,0,w21328
w21626,Phasing Out the GSEs,2015,,nber,0,w21626
w24706,Government Guarantees and the Valuation of American Banks,2018,,nber,0,w24706
w7992,Private Inflows when Crises are Anticipated: A Case Study of Korea,2000,,nber,0,w7992
w9385,Paying for the FILP,2002,,nber,0,w9385
w11353,International Borrowing and Macroeconomic Performance in Argentina,2005,,nber,0,w11353
w15177,The Effects of the Length of the Tax-Loss Carryback Period on Tax Receipts and Corporate Marginal Tax Rates,2009,,nber,0,w15177
w15472,"Mortgage Default, Foreclosure, and Bankruptcy",2009,,nber,0,w15472
w15652,Asset Fire Sales and Credit Easing,2010,,nber,0,w15652
w16008,Build America Bonds,2010,,nber,0,w16008
w16275,Automatic Stabilizers and Economic Crisis: US vs. Europe,2010,,nber,0,w16275
w16893,The Liquidation of Government Debt,2011,,nber,0,w16893
w18431,"Financial Intermediation, Exchange Rates, and Unconventional Policy in an Open Economy",2012,,nber,0,w18431
w18821,Did Housing Policies Cause the Postwar Boom in Homeownership?,2013,,nber,0,w18821
w19951,Trapped Factors and China's Impact on Global Growth,2014,,nber,0,w19951
w19972,Rating Agencies,2014,,nber,0,w19972
w24980,Setting with the Sun: The Impacts of Renewable Energy on Wholesale Power Markets,2018,,nber,0,w24980
w25319,"Money Markets, Collateral and Monetary Policy",2018,,nber,0,w25319
w26710,Countercyclical Capital Buffers: A Cautionary Tale,2020,,nber,0,w26710
w27733,Payments Crises and Consequences,2020,,nber,0,w27733
w27935,A Q-Theory of Banks,2020,,nber,0,w27935
w28852,Beyond Health: Non-Health Risk and the Value of Disability Insurance,2021,,nber,0,w28852
w29441,Macroprudential Policies and The Covid-19 Pandemic: Risks and Challenges For Emerging Markets,2021,,nber,0,w29441
w31965,Dynamic Monopsony with Granular Firms,2023,,nber,0,w31965
