table,variable,coef,se,z_abs,stars,spec,wp_number,direction,paper_title
Table 2,Size (acquirer),0.041,0.006,,***,(1),w20410,-1,Selling Failed Banks
Table 2,Size (acquirer),0.042,0.006,,***,(2),w20410,-1,Selling Failed Banks
Table 2,Size (acquirer),0.041,0.006,,***,(3),w20410,-1,Selling Failed Banks
Table 2,% Residential Loans (acquirer),0.009,0.005,,*,(1),w20410,-1,Selling Failed Banks
Table 2,% Residential Loans (acquirer),0.009,0.004,,**,(2),w20410,-1,Selling Failed Banks
Table 2,% Residential Loans (acquirer),0.009,0.005,,*,(3),w20410,-1,Selling Failed Banks
Table 2,% CRE Loans (acquirer),0.034,0.006,,***,(1),w20410,-1,Selling Failed Banks
Table 2,% CRE Loans (acquirer),0.033,0.006,,***,(2),w20410,-1,Selling Failed Banks
Table 2,% CRE Loans (acquirer),0.036,0.006,,***,(3),w20410,-1,Selling Failed Banks
Table 2,% C&I Loans (acquirer),0.016,0.006,,***,(1),w20410,-1,Selling Failed Banks
Table 2,% C&I Loans (acquirer),0.016,0.006,,***,(2),w20410,-1,Selling Failed Banks
Table 2,% C&I Loans (acquirer),0.017,0.006,,***,(3),w20410,-1,Selling Failed Banks
Table 2,Tier 1 Capital Ratio (acquirer),0.001,0.0,,***,(3),w20410,-1,Selling Failed Banks
Table 2,Leverage Ratio (acquirer),0.009,0.004,,***,(2),w20410,-1,Selling Failed Banks
Table 2,% Core Deposits (acquirer),0.018,0.005,,***,(3),w20410,-1,Selling Failed Banks
Table 3 Panel A,Distance,-0.624,0.095,,***,(1),w20410,-1,Selling Failed Banks
Table 3 Panel A,Distance,-0.679,0.102,,***,(2),w20410,-1,Selling Failed Banks
Table 3 Panel A,Distance,-0.545,0.089,,***,(3),w20410,-1,Selling Failed Banks
Table 3 Panel B,Distance,-0.42,0.087,,***,Coastal (1),w20410,-1,Selling Failed Banks
Table 3 Panel B,Distance,-0.712,0.164,,***,Non-Coastal (2),w20410,-1,Selling Failed Banks
Table 3 Panel B,Distance,-0.375,0.056,,***,High HPI growth (3),w20410,-1,Selling Failed Banks
Table 3 Panel B,Distance,-0.865,0.101,,***,Low HPI growth (4),w20410,-1,Selling Failed Banks
