table,variable,coef,se,z_abs,stars,spec,paper_title,wp_number,year,direction,positive,negative,published_top3,pvalue,estimated,note,estimated_z,dep_var,panel,p_value,t_stat
Table 2,Explicit Coverage Limit,0.019,0.006,3.167,***,Col (1),Deposit Insurance Around the Globe: Where Does it Work?,w8493,2001,0,False,False,False,,,,,,,,
Table 2,Funding,0.454,0.203,2.236,**,Col (1),Deposit Insurance Around the Globe: Where Does it Work?,w8493,2001,0,False,False,False,,,,,,,,
Table 2,Official Mgmt.,0.8,0.419,1.91,**,Col (1),Deposit Insurance Around the Globe: Where Does it Work?,w8493,2001,0,False,False,False,,,,,,,,
Table 2,Joint Mgmt.,0.617,1.163,0.531,,Col (1),Deposit Insurance Around the Globe: Where Does it Work?,w8493,2001,0,False,False,False,,,,,,,,
Table 2,Private Mgmt.,0.297,0.881,0.337,,Col (1),Deposit Insurance Around the Globe: Where Does it Work?,w8493,2001,0,False,False,False,,,,,,,,
Table 2,Moral Hazard Index,0.161,0.074,2.176,**,Col (1),Deposit Insurance Around the Globe: Where Does it Work?,w8493,2001,0,False,False,False,,,,,,,,
Table 3,Relationship Customers,-0.0147,,3.0,***,Section A,"Event-Study Evidence of the Value of Relaxing Longstanding Regulatory Restraints on Banks, 1970-2000",w8594,2001,-1,False,True,False,,,,,,,,
Table 3,Other Nonfinancial Corporations,-0.0068,,5.58,***,Section A,"Event-Study Evidence of the Value of Relaxing Longstanding Regulatory Restraints on Banks, 1970-2000",w8594,2001,-1,False,True,False,,,,,,,,
Table 3,Difference in Means (Relationship vs Other),-0.0079,,1.83,*,Section A,"Event-Study Evidence of the Value of Relaxing Longstanding Regulatory Restraints on Banks, 1970-2000",w8594,2001,-1,False,True,False,,,,,,,,
Table 3,Customers of Section 20 banks,-0.0127,,2.21,**,Section B,"Event-Study Evidence of the Value of Relaxing Longstanding Regulatory Restraints on Banks, 1970-2000",w8594,2001,-1,False,True,False,,,,,,,,
Table 3,Customers of Non-Section 20 banks,-0.0205,,2.16,**,Section B,"Event-Study Evidence of the Value of Relaxing Longstanding Regulatory Restraints on Banks, 1970-2000",w8594,2001,-1,False,True,False,,,,,,,,
Table 3,Difference in Means (Section 20 vs Non-Section 20),0.0078,,0.72,,Section B,"Event-Study Evidence of the Value of Relaxing Longstanding Regulatory Restraints on Banks, 1970-2000",w8594,2001,-1,False,True,False,,,,,,,,
Table 3,Small cap (≤$100 mil equity),-0.0171,,2.72,***,Section C,"Event-Study Evidence of the Value of Relaxing Longstanding Regulatory Restraints on Banks, 1970-2000",w8594,2001,-1,False,True,False,,,,,,,,
Table 3,Large cap (>$100 mil equity),-0.0117,,1.45,,Section C,"Event-Study Evidence of the Value of Relaxing Longstanding Regulatory Restraints on Banks, 1970-2000",w8594,2001,-1,False,True,False,,,,,,,,
Table 3,Difference in Means (Small vs Large cap),-0.0054,,0.69,,Section C,"Event-Study Evidence of the Value of Relaxing Longstanding Regulatory Restraints on Banks, 1970-2000",w8594,2001,-1,False,True,False,,,,,,,,
Table 3,Non-Investment Grade Bond Rating,-0.0159,,0.97,,Section D,"Event-Study Evidence of the Value of Relaxing Longstanding Regulatory Restraints on Banks, 1970-2000",w8594,2001,-1,False,True,False,,,,,,,,
Table 3,Investment Grade Bond Rating,0.003,,0.15,,Section D,"Event-Study Evidence of the Value of Relaxing Longstanding Regulatory Restraints on Banks, 1970-2000",w8594,2001,-1,False,True,False,,,,,,,,
Table 3,Difference in Means (Non-Investment vs Investment Grade),-0.0189,,0.69,*,Section D,"Event-Study Evidence of the Value of Relaxing Longstanding Regulatory Restraints on Banks, 1970-2000",w8594,2001,-1,False,True,False,,,,,,,,
Table 3,Debt/Assets≥10%,-0.0174,,2.33,**,Section E,"Event-Study Evidence of the Value of Relaxing Longstanding Regulatory Restraints on Banks, 1970-2000",w8594,2001,-1,False,True,False,,,,,,,,
Table 3,Debt/Assets<10%,-0.01,,1.87,*,Section E,"Event-Study Evidence of the Value of Relaxing Longstanding Regulatory Restraints on Banks, 1970-2000",w8594,2001,-1,False,True,False,,,,,,,,
Table 3,Difference in Means (Debt≥10% vs <10%),-0.0074,,0.11,,Section E,"Event-Study Evidence of the Value of Relaxing Longstanding Regulatory Restraints on Banks, 1970-2000",w8594,2001,-1,False,True,False,,,,,,,,
Table 4,Relationship Customers,-0.01,,2.22,**,Section A,"Event-Study Evidence of the Value of Relaxing Longstanding Regulatory Restraints on Banks, 1970-2000",w8594,2001,-1,False,True,False,,,,,,,,
Table 4,Other Nonfinancial Corporations,-0.0129,,16.91,***,Section A,"Event-Study Evidence of the Value of Relaxing Longstanding Regulatory Restraints on Banks, 1970-2000",w8594,2001,-1,False,True,False,,,,,,,,
Table 4,Difference in Means (Relationship vs Other),0.0029,,1.41,,Section A,"Event-Study Evidence of the Value of Relaxing Longstanding Regulatory Restraints on Banks, 1970-2000",w8594,2001,-1,False,True,False,,,,,,,,
Table 4,Customers of Section 20 banks,-0.0117,,2.31,**,Section B,"Event-Study Evidence of the Value of Relaxing Longstanding Regulatory Restraints on Banks, 1970-2000",w8594,2001,-1,False,True,False,,,,,,,,
Table 4,Customers of Non-Section 20 banks,-0.0045,,0.43,,Section B,"Event-Study Evidence of the Value of Relaxing Longstanding Regulatory Restraints on Banks, 1970-2000",w8594,2001,-1,False,True,False,,,,,,,,
Table 4,Difference in Means (Section 20 vs Non-Section 20),-0.0072,,0.77,,Section B,"Event-Study Evidence of the Value of Relaxing Longstanding Regulatory Restraints on Banks, 1970-2000",w8594,2001,-1,False,True,False,,,,,,,,
Table 4,Small cap (≤$100 mil equity),-0.0067,,0.75,,Section C,"Event-Study Evidence of the Value of Relaxing Longstanding Regulatory Restraints on Banks, 1970-2000",w8594,2001,-1,False,True,False,,,,,,,,
Table 4,Large cap (>$100 mil equity),-0.0133,,2.4,**,Section C,"Event-Study Evidence of the Value of Relaxing Longstanding Regulatory Restraints on Banks, 1970-2000",w8594,2001,-1,False,True,False,,,,,,,,
Table 4,Difference in Means (Small vs Large cap),0.0066,,1.18,*,Section C,"Event-Study Evidence of the Value of Relaxing Longstanding Regulatory Restraints on Banks, 1970-2000",w8594,2001,-1,False,True,False,,,,,,,,
Table 4,Non-Investment Grade Bond Rating,0.0028,,0.14,,Section D,"Event-Study Evidence of the Value of Relaxing Longstanding Regulatory Restraints on Banks, 1970-2000",w8594,2001,-1,False,True,False,,,,,,,,
Table 4,Investment Grade Bond Rating,-0.0163,,1.6,,Section D,"Event-Study Evidence of the Value of Relaxing Longstanding Regulatory Restraints on Banks, 1970-2000",w8594,2001,-1,False,True,False,,,,,,,,
Table 4,Difference in Means (Non-Investment vs Investment Grade),0.0191,,1.21,,Section D,"Event-Study Evidence of the Value of Relaxing Longstanding Regulatory Restraints on Banks, 1970-2000",w8594,2001,-1,False,True,False,,,,,,,,
Table 4,Debt/Assets≥10%,-0.0108,,1.71,*,Section E,"Event-Study Evidence of the Value of Relaxing Longstanding Regulatory Restraints on Banks, 1970-2000",w8594,2001,-1,False,True,False,,,,,,,,
Table 4,Debt/Assets<10%,-0.0088,,1.46,,Section E,"Event-Study Evidence of the Value of Relaxing Longstanding Regulatory Restraints on Banks, 1970-2000",w8594,2001,-1,False,True,False,,,,,,,,
Table 4,Difference in Means (Debt≥10% vs <10%),-0.002,,0.08,,Section E,"Event-Study Evidence of the Value of Relaxing Longstanding Regulatory Restraints on Banks, 1970-2000",w8594,2001,-1,False,True,False,,,,,,,,
Table 3,Capital Regulatory Index,-0.011,,,,Bank Development (1),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.725,False,,,,,,
Table 3,Private Monitoring Index,0.089,,,**,Bank Development (1),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.003,False,,,,,,
Table 3,Restrictions on Bank Activities Index,-0.042,,,,Bank Development (1),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.172,False,,,,,,
Table 3,Official Supervisory Power Index,0.002,,,,Bank Development (1),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.939,False,,,,,,
Table 3,Government-Owned Banks,-0.118,,,**,Bank Development (1),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.001,False,,,,,,
Table 3,Capital Regulatory Index,-0.003,,,,Net Interest Margin (1),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.373,False,,,,,,
Table 3,Private Monitoring Index,-0.01,,,**,Net Interest Margin (1),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.012,False,,,,,,
Table 3,Restrictions on Bank Activities Index,0.0,,,,Net Interest Margin (1),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.87,False,,,,,,
Table 3,Official Supervisory Power Index,0.003,,,,Net Interest Margin (1),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.19,False,,,,,,
Table 3,Government-Owned Banks,0.004,,,,Net Interest Margin (1),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.241,False,,,,,,
Table 3,Capital Regulatory Index,0.001,,,,Overhead Costs (1),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.789,False,,,,,,
Table 3,Private Monitoring Index,-0.006,,,*,Overhead Costs (1),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.077,False,,,,,,
Table 3,Restrictions on Bank Activities Index,0.0,,,,Overhead Costs (1),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.965,False,,,,,,
Table 3,Official Supervisory Power Index,0.003,,,**,Overhead Costs (1),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.042,False,,,,,,
Table 3,Government-Owned Banks,-0.001,,,,Overhead Costs (1),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.731,False,,,,,,
Table 3,Capital Regulatory Index,-0.035,,,*,Nonperforming Loans (1),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.058,False,,,,,,
Table 3,Private Monitoring Index,-0.042,,,**,Nonperforming Loans (1),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.007,False,,,,,,
Table 3,Restrictions on Bank Activities Index,0.004,,,,Nonperforming Loans (1),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.799,False,,,,,,
Table 3,Official Supervisory Power Index,0.006,,,,Nonperforming Loans (1),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.586,False,,,,,,
Table 3,Government-Owned Banks,-0.011,,,,Nonperforming Loans (1),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.567,False,,,,,,
Table 3,Capital Regulatory Index,-0.028,,,,Bank Development (2),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.428,False,,,,,,
Table 3,Private Monitoring Index,0.071,,,**,Bank Development (2),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.025,False,,,,,,
Table 3,Restrictions on Bank Activities Index,-0.029,,,,Bank Development (2),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.322,False,,,,,,
Table 3,Official Supervisory Power Index,-0.002,,,,Bank Development (2),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.926,False,,,,,,
Table 3,Government-Owned Banks,-0.119,,,**,Bank Development (2),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.002,False,,,,,,
Table 3,Entry into Banking Requirements Index,-0.169,,,,Bank Development (2),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.154,False,,,,,,
Table 3,Capital Regulatory Index,-0.002,,,,Net Interest Margin (2),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.66,False,,,,,,
Table 3,Private Monitoring Index,-0.009,,,**,Net Interest Margin (2),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.045,False,,,,,,
Table 3,Restrictions on Bank Activities Index,-0.001,,,,Net Interest Margin (2),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.713,False,,,,,,
Table 3,Official Supervisory Power Index,0.003,,,,Net Interest Margin (2),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.156,False,,,,,,
Table 3,Government-Owned Banks,0.006,,,**,Net Interest Margin (2),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.075,False,,,,,,
Table 3,Entry into Banking Requirements Index,0.006,,,,Net Interest Margin (2),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.76,False,,,,,,
Table 3,Capital Regulatory Index,0.003,,,,Overhead Costs (2),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.289,False,,,,,,
Table 3,Private Monitoring Index,-0.004,,,,Overhead Costs (2),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.282,False,,,,,,
Table 3,Restrictions on Bank Activities Index,0.0,,,,Overhead Costs (2),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.889,False,,,,,,
Table 3,Official Supervisory Power Index,0.004,,,**,Overhead Costs (2),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.036,False,,,,,,
Table 3,Government-Owned Banks,0.0,,,,Overhead Costs (2),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.984,False,,,,,,
Table 3,Entry into Banking Requirements Index,0.022,,,,Overhead Costs (2),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.209,False,,,,,,
Table 3,Capital Regulatory Index,-0.034,,,*,Nonperforming Loans (2),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.096,False,,,,,,
Table 3,Private Monitoring Index,-0.028,,,*,Nonperforming Loans (2),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.085,False,,,,,,
Table 3,Restrictions on Bank Activities Index,-0.005,,,,Nonperforming Loans (2),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.713,False,,,,,,
Table 3,Official Supervisory Power Index,0.011,,,,Nonperforming Loans (2),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.235,False,,,,,,
Table 3,Government-Owned Banks,-0.021,,,,Nonperforming Loans (2),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.209,False,,,,,,
Table 3,Entry into Banking Requirements Index,0.16,,,**,Nonperforming Loans (2),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.03,False,,,,,,
Table 4,Restrictions on Bank Activities Index,0.631,,,*,Col (1),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.073,False,,,,,,
Table 4,Entry into Banking Requirements Index,-0.183,,,,Col (1),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.495,False,,,,,,
Table 4,Capital Regulatory Index,-0.264,,,,Col (1),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.471,False,,,,,,
Table 4,Official Supervisory Power Index,-0.27,,,,Col (1),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.388,False,,,,,,
Table 4,Government-Owned Banks,2.312,,,,Col (1),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.195,False,,,,,,
Table 4,Inflation,0.051,,,*,Col (1),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.084,False,,,,,,
Table 4,Restrictions on Bank Activities Index,1.158,,,**,Col (2),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.016,False,,,,,,
Table 4,Entry into Banking Requirements Index,-0.279,,,,Col (2),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.381,False,,,,,,
Table 4,Capital Regulatory Index,-0.749,,,,Col (2),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.173,False,,,,,,
Table 4,Official Supervisory Power Index,-0.224,,,,Col (2),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.492,False,,,,,,
Table 4,Government-Owned Banks,5.269,,,*,Col (2),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.087,False,,,,,,
Table 4,Inflation,0.064,,,**,Col (2),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.009,False,,,,,,
Table 4,Moral Hazard Index,0.719,,,**,Col (2),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.0,False,,,,,,
Table 4,Restrictions on Bank Activities Index,0.647,,,,Col (3),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.174,False,,,,,,
Table 4,Entry into Banking Requirements Index,-0.125,,,,Col (3),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.614,False,,,,,,
Table 4,Capital Regulatory Index,-1.035,,,*,Col (3),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.069,False,,,,,,
Table 4,Official Supervisory Power Index,-0.243,,,,Col (3),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.566,False,,,,,,
Table 4,Government-Owned Banks,2.846,,,,Col (3),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.185,False,,,,,,
Table 4,Inflation,0.031,,,,Col (3),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.168,False,,,,,,
Table 4,Moral Hazard Index,1.442,,,**,Col (3),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.009,False,,,,,,
Table 4,Restrictions on Bank Activities Index,0.771,,,*,Col (4),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.083,False,,,,,,
Table 4,Entry into Banking Requirements Index,-0.309,,,,Col (4),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.35,False,,,,,,
Table 4,Capital Regulatory Index,-0.155,,,,Col (4),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.735,False,,,,,,
Table 4,Private Monitoring Index,0.391,,,,Col (4),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.431,False,,,,,,
Table 4,Official Supervisory Power Index,1.168,,,,Col (4),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.316,False,,,,,,
Table 4,Government-Owned Banks,1.537,,,,Col (4),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.496,False,,,,,,
Table 4,Inflation,0.051,,,*,Col (4),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.051,False,,,,,,
Table 4,Restrictions on Bank Activities Index,1.709,,,**,Col (5),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.034,False,,,,,,
Table 4,Entry into Banking Requirements Index,-0.704,,,,Col (5),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.142,False,,,,,,
Table 4,Capital Regulatory Index,-0.107,,,,Col (5),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.885,False,,,,,,
Table 4,Official Supervisory Power Index,-0.655,,,,Col (5),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.316,False,,,,,,
Table 4,Government-Owned Banks,3.414,,,,Col (5),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.256,False,,,,,,
Table 4,Inflation,0.138,,,**,Col (5),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.01,False,,,,,,
Table 4,Moral Hazard Index,2.132,,,**,Col (5),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.002,False,,,,,,
Table 4,Restrictions on Bank Activities Index,1.88,,,**,Col (6),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.043,False,,,,,,
Table 4,Entry into Banking Requirements Index,0.398,,,,Col (6),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.279,False,,,,,,
Table 4,Capital Regulatory Index,-1.268,,,,Col (6),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.34,False,,,,,,
Table 4,Official Supervisory Power Index,-0.222,,,,Col (6),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.598,False,,,,,,
Table 4,Government-Owned Banks,9.477,,,,Col (6),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.114,False,,,,,,
Table 4,Inflation,0.025,,,,Col (6),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.307,False,,,,,,
Table 4,Moral Hazard Index,0.716,,,**,Col (6),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.0,False,,,,,,
Table 4,Diversification Index,-13.443,,,**,Col (6),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.012,False,,,,,,
Table 4,Restrictions on Bank Activities Index,0.735,,,,Col (7),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.265,False,,,,,,
Table 4,Entry into Banking Requirements Index,0.249,,,,Col (7),Bank Regulation and Supervision: What Works Best?,w9323,2002,1,True,False,False,0.432,False,,,,,,
