journal,year,title,doi,nsu_proxy_url
JF,2000,"Effectiveness of Capital Regulation at U.S. Commercial Banks, 1985 to 1994",10.1111/0022-1082.00212,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1111/0022-1082.00212
JF,2003,"Regulation Fair Disclosure and Earnings Information: Market, Analyst, and Corporate Responses",10.1046/j.1540-6261.2003.00613.x,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1046/j.1540-6261.2003.00613.x
JF,2003,Investor Protection and Firm Liquidity,10.1111/1540-6261.00551,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1111/1540-6261.00551
JF,2004,Toward a National Market System for U.S. Exchange–listed Equity Options,10.1111/j.1540-6261.2004.00653.x,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1111/j.1540-6261.2004.00653.x
JF,2005,Insider Trading Restrictions and Analysts' Incentives to Follow Firms,10.1111/j.1540-6261.2005.00724.x,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1111/j.1540-6261.2005.00724.x
JF,2007,How Laws and Institutions Shape Financial Contracts: The Case of Bank Loans,10.1111/j.1540-6261.2007.01293.x,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1111/j.1540-6261.2007.01293.x
JF,2008,Corporate Governance and Risk‐Taking,10.1111/j.1540-6261.2008.01372.x,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1111/j.1540-6261.2008.01372.x
JF,2008,“You Can Enter but You Cannot Leave…”: U.S. Securities Markets and Foreign Firms,10.1111/j.1540-6261.2008.01402.x,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1111/j.1540-6261.2008.01402.x
JF,2008,Mandatory Disclosure and Operational Risk: Evidence from Hedge Fund Registration,10.1111/j.1540-6261.2008.01413.x,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1111/j.1540-6261.2008.01413.x
JF,2009,It's SHO Time! Short‐Sale Price Tests and Market Quality,10.1111/j.1540-6261.2008.01428.x,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1111/j.1540-6261.2008.01428.x
JF,2010,"The Effect of SOX Section 404: Costs, Earnings Quality, and Stock Prices",10.1111/j.1540-6261.2010.01564.x,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1111/j.1540-6261.2010.01564.x
JF,2012,"Why Does the Law Matter? Investor Protection and Its Effects on Investment, Finance, and Growth",10.1111/j.1540-6261.2011.01713.x,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1111/j.1540-6261.2011.01713.x
JF,2015,"Mandatory Portfolio Disclosure, Stock Liquidity, and Mutual Fund Performance",10.1111/jofi.12245,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1111/jofi.12245
JF,2016,Who Borrows from the Lender of Last Resort?,10.1111/jofi.12421,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1111/jofi.12421
JF,2017,Selling Failed Banks,10.1111/jofi.12512,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1111/jofi.12512
JF,2018,"Stealing Deposits: Deposit Insurance, Risk‐Taking, and the Removal of Market Discipline in Early 20<sup>th</sup>‐Century Banks",10.1111/jofi.12701,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1111/jofi.12701
JF,2019,Women's Liberation as a Financial Innovation,10.1111/jofi.12829,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1111/jofi.12829
JF,2021,Leverage Regulation and Market Structure: A Structural Model of the U.K. Mortgage Market,10.1111/jofi.13072,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1111/jofi.13072
JF,2021,Currency Mispricing and Dealer Balance Sheets,10.1111/jofi.13079,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1111/jofi.13079
JF,2024,The SOE Premium and Government Support in China's Credit Market,10.1111/jofi.13380,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1111/jofi.13380
JFE,2000,"Eighths, sixteenths, and market depth: changes in tick size and liquidity provision on the NYSE",10.1016/s0304-405x(99)00061-6,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/s0304-405x(99)00061-6
JFE,2004,Cross-country determinants of mergers and acquisitions,10.1016/j.jfineco.2003.10.001,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2003.10.001
JFE,2004,Informational effects of regulation FD: evidence from rating agencies,10.1016/j.jfineco.2003.05.004,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2003.05.004
JFE,2005,The impact of regulation on market risk,10.1016/j.jfineco.2003.11.003,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2003.11.003
JFE,2006,The economic consequences of increased disclosure: Evidence from international cross-listings☆,10.1016/j.jfineco.2005.06.002,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2005.06.002
JFE,2007,Private credit in 129 countries☆,10.1016/j.jfineco.2006.03.004,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2006.03.004
JFE,2007,Liquidity and market efficiency☆,10.1016/j.jfineco.2006.03.002,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2006.03.002
JFE,2007,Does backdating explain the stock price pattern around executive stock option grants?,10.1016/j.jfineco.2005.12.003,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2005.12.003
JFE,2008,Has New York become less competitive than London in global markets? Evaluating foreign listing choices over time☆,10.1016/j.jfineco.2007.06.002,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2007.06.002
JFE,2010,"Creditor rights, information sharing, and bank risk taking",10.1016/j.jfineco.2010.02.008,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2010.02.008
JFE,2010,Paulson's gift,10.1016/j.jfineco.2010.03.011,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2010.03.011
JFE,2010,Identifying the effects of a lender of last resort on financial markets: Lessons from the founding of the fed☆,10.1016/j.jfineco.2010.04.001,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2010.04.001
JFE,2010,The Sarbanes-Oxley act and corporate investment: A structural assessment☆,10.1016/j.jfineco.2010.02.002,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2010.02.002
JFE,2011,Regulatory pressure and fire sales in the corporate bond market,10.1016/j.jfineco.2011.03.020,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2011.03.020
JFE,2012,The impact of investor protection law on corporate policy and performance: Evidence from the blue sky laws,10.1016/j.jfineco.2011.04.002,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2011.04.002
JFE,2012,Flow and stock effects of large-scale treasury purchases: Evidence on the importance of local supply,10.1016/j.jfineco.2012.01.004,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2012.01.004
JFE,2013,Worldwide reach of short selling regulations,10.1016/j.jfineco.2013.02.012,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2013.02.012
JFE,2013,Government policy and ownership of equity securities,10.1016/j.jfineco.2013.08.017,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2013.08.017
JFE,2013,Do personal taxes affect capital structure? Evidence from the 2003 tax cut,10.1016/j.jfineco.2013.03.010,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2013.03.010
JFE,2014,"Safer ratios, riskier portfolios: Banks׳ response to government aid",10.1016/j.jfineco.2014.03.005,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2014.03.005
JFE,2014,"Trading rules, competition for order flow and market fragmentation",10.1016/j.jfineco.2013.11.004,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2013.11.004
JFE,2014,Impact of the Dodd-Frank act on credit ratings,10.1016/j.jfineco.2014.07.005,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2014.07.005
JFE,2015,Government ownership and the cost of debt: Evidence from government investments in publicly traded firms,10.1016/j.jfineco.2015.06.011,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2015.06.011
JFE,2016,Bankruptcy law and bank financing,10.1016/j.jfineco.2016.01.016,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2016.01.016
JFE,2016,Taxes and bank capital structure,10.1016/j.jfineco.2016.01.015,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2016.01.015
JFE,2016,Should we be afraid of the dark? Dark trading and market quality,10.1016/j.jfineco.2016.08.004,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2016.08.004
JFE,2016,Does Dodd-Frank affect OTC transaction costs and liquidity? Evidence from real-time CDS trade reports,10.1016/j.jfineco.2016.01.019,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2016.01.019
JFE,2016,Mortgage companies and regulatory arbitrage,10.1016/j.jfineco.2016.07.003,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2016.07.003
JFE,2016,Taxes and leverage at multinational corporations,10.1016/j.jfineco.2016.05.011,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2016.05.011
JFE,2018,The Volcker Rule and corporate bond market making in times of stress,10.1016/j.jfineco.2018.06.001,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2018.06.001
JFE,2018,Quantitative easing auctions of Treasury bonds,10.1016/j.jfineco.2018.02.004,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2018.02.004
JFE,2019,Stress tests and small business lending,10.1016/j.jfineco.2019.02.010,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2019.02.010
JFE,2019,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",10.1016/j.jfineco.2019.03.005,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2019.03.005
JFE,2019,The value of collateral in trade finance,10.1016/j.jfineco.2018.07.018,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2018.07.018
JFE,2019,Potential pilot problems: Treatment spillovers in financial regulatory experiments,10.1016/j.jfineco.2018.09.010,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2018.09.010
JFE,2019,Risky bank guarantees,10.1016/j.jfineco.2019.02.003,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2019.02.003
JFE,2020,Inspecting the mechanism of quantitative easing in the euro area,10.1016/j.jfineco.2019.08.003,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2019.08.003
JFE,2020,The price effects of liquidity shocks: A study of the SEC’s tick size experiment,10.1016/j.jfineco.2020.07.002,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2020.07.002
JFE,2020,Flying under the radar: The effects of short-sale disclosure rules on investor behavior and stock prices,10.1016/j.jfineco.2020.03.004,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2020.03.004
JFE,2020,The scarcity effect of QE on repo rates: Evidence from the euro area,10.1016/j.jfineco.2020.04.009,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2020.04.009
JFE,2020,Regulatory cooperation and foreign portfolio investment,10.1016/j.jfineco.2020.04.016,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2020.04.016
JFE,2020,Swap trading after Dodd-Frank: Evidence from index CDS,10.1016/j.jfineco.2020.03.008,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2020.03.008
JFE,2021,The design and transmission of central bank liquidity provisions,10.1016/j.jfineco.2020.06.025,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2020.06.025
JFE,2021,Regulatory transparency and the alignment of private and public enforcement: Evidence from the public disclosure of SEC comment letters,10.1016/j.jfineco.2020.08.001,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2020.08.001
JFE,2021,Flying below the radar: Insider trading by executives below the top,10.1016/j.jfineco.2021.05.038,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2021.05.038
JFE,2021,The effects of disclosure and enforcement on payday lending in Texas,10.1016/j.jfineco.2021.04.004,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2021.04.004
JFE,2022,Bank transparency and deposit flows,10.1016/j.jfineco.2022.07.009,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2022.07.009
JFE,2023,"Creditor rights, collateral reuse, and credit supply",10.1016/j.jfineco.2023.06.001,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2023.06.001
JFE,2023,Stress tests and model monoculture,10.1016/j.jfineco.2023.04.002,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2023.04.002
JFE,2024,Regulatory costs of being public: Evidence from bunching estimation,10.1016/j.jfineco.2023.103775,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2023.103775
JFE,2024,Disclosing and cooling-off: An analysis of insider trading rules,10.1016/j.jfineco.2024.103913,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2024.103913
JFE,2024,The cross-border effects of bank capital regulation,10.1016/j.jfineco.2024.103912,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2024.103912
