Specification,Variable,Coefficient,Std Error,z-stat,p-value,CI 2.5%,CI 97.5%,Significance,N,Pseudo R2
AFA 3-way (1): Bivariate,Intercept,-1.1166,0.2174,-5.1351,0.0,-1.5428,-0.6904,***,150,0.0535
AFA 3-way (1): Bivariate,pos,0.3428,0.3083,1.1118,0.2662,-0.2615,0.9471,,150,0.0535
AFA 3-way (1): Bivariate,neg,0.798,0.2764,2.8872,0.0039,0.2563,1.3397,***,150,0.0535
AFA 3-way (2): + Year,Intercept,-1.1626,0.2249,-5.1691,0.0,-1.6034,-0.7217,***,150,0.0757
AFA 3-way (2): + Year,pos,0.348,0.3119,1.1156,0.2646,-0.2634,0.9593,,150,0.0757
AFA 3-way (2): + Year,neg,0.8243,0.2823,2.92,0.0035,0.271,1.3776,***,150,0.0757
AFA 3-way (2): + Year,year_c,-0.0464,0.0242,-1.9134,0.0557,-0.0939,0.0011,*,150,0.0757
AFA 3-way (3): + Authors,Intercept,-0.9167,0.4631,-1.9796,0.0477,-1.8243,-0.0091,**,150,0.0779
AFA 3-way (3): + Authors,pos,0.3573,0.3136,1.1395,0.2545,-0.2573,0.972,,150,0.0779
AFA 3-way (3): + Authors,neg,0.8402,0.2839,2.9592,0.0031,0.2837,1.3966,***,150,0.0779
AFA 3-way (3): + Authors,year_c,-0.0505,0.0251,-2.008,0.0446,-0.0998,-0.0012,**,150,0.0779
AFA 3-way (3): + Authors,log_nauth,-0.1869,0.3089,-0.6049,0.5452,-0.7923,0.4186,,150,0.0779
