Specification,Variable,Coefficient,Std Error,z-stat,p-value,CI 2.5%,CI 97.5%,Significance,N,Pseudo R2
AFA Uniform-LLM (1): Bivariate,Intercept,-0.6456,0.2604,-2.479,0.0132,-1.156,-0.1353,**,108,0.0001
AFA Uniform-LLM (1): Bivariate,directional,0.0377,0.3,0.126,0.9001,-0.5504,0.6257,,108,0.0001
AFA Uniform-LLM (2): + Year,Intercept,-0.668,0.2643,-2.527,0.0115,-1.186,-0.1499,**,108,0.0055
AFA Uniform-LLM (2): + Year,directional,0.0439,0.3021,0.145,0.8844,-0.5481,0.6359,,108,0.0055
AFA Uniform-LLM (2): + Year,year_c,-0.0222,0.0269,-0.825,0.4095,-0.0748,0.0305,,108,0.0055
AFA Uniform-LLM (3): + Authors,Intercept,-0.478,0.5313,-0.9,0.3683,-1.5194,0.5634,,108,0.0069
AFA Uniform-LLM (3): + Authors,directional,0.0569,0.3043,0.187,0.8518,-0.5396,0.6533,,108,0.0069
AFA Uniform-LLM (3): + Authors,year_c,-0.0257,0.0282,-0.913,0.3613,-0.081,0.0295,,108,0.0069
AFA Uniform-LLM (3): + Authors,log_nauth,-0.1476,0.3585,-0.412,0.6806,-0.8503,0.5551,,108,0.0069
AFA Uniform-LLM (4): 3-way,Intercept,-0.6694,0.2645,-2.531,0.0114,-1.1879,-0.151,**,108,0.0104
AFA Uniform-LLM (4): 3-way,pos,-0.1093,0.362,-0.302,0.7627,-0.8189,0.6002,,108,0.0104
AFA Uniform-LLM (4): 3-way,neg,0.1343,0.3228,0.416,0.6774,-0.4984,0.767,,108,0.0104
AFA Uniform-LLM (4): 3-way,year_c,-0.0234,0.027,-0.868,0.3852,-0.0763,0.0294,,108,0.0104
