Specification,Variable,Coefficient,Std Error,z-stat,p-value,CI 2.5%,CI 97.5%,Significance,N,Pseudo R2
Trunc100 (1): Bivariate,Intercept,0.1451,0.1745,0.832,0.4055,-0.1968,0.4871,,200,0.0352
Trunc100 (1): Bivariate,pos_trunc,0.7082,0.2533,2.796,0.0052,0.2118,1.2047,***,200,0.0352
Trunc100 (1): Bivariate,neg_trunc,0.4848,0.2266,2.14,0.0324,0.0408,0.9288,**,200,0.0352
Trunc100 (2): + Year,Intercept,0.2628,0.1815,1.448,0.1475,-0.0928,0.6184,,200,0.0772
Trunc100 (2): + Year,pos_trunc,0.7073,0.2575,2.747,0.006,0.2026,1.212,***,200,0.0772
Trunc100 (2): + Year,neg_trunc,0.4275,0.2314,1.847,0.0647,-0.0261,0.8811,*,200,0.0772
Trunc100 (2): + Year,year_c,0.0495,0.0157,3.148,0.0016,0.0187,0.0803,***,200,0.0772
Trunc100 (3): Binary directional,Intercept,0.259,0.1812,1.429,0.153,-0.0963,0.6142,,200,0.0715
Trunc100 (3): Binary directional,directional_trunc,0.5397,0.2115,2.551,0.0107,0.1251,0.9543,**,200,0.0715
Trunc100 (3): Binary directional,year_c,0.048,0.0156,3.08,0.0021,0.0175,0.0786,***,200,0.0715
Original coding (full abstract),Intercept,0.0261,0.1497,0.174,0.8617,-0.2673,0.3195,,200,0.1783
Original coding (full abstract),pos_orig,1.216,0.2704,4.497,0.0,0.686,1.746,***,200,0.1783
Original coding (full abstract),neg_orig,1.0916,0.2443,4.468,0.0,0.6127,1.5704,***,200,0.1783
Original coding (full abstract),year_c,0.0335,0.0165,2.031,0.0423,0.0012,0.0659,**,200,0.1783
