Specification,Variable,Coefficient,Std Error,z-stat,p-value,CI 2.5%,CI 97.5%,Significance,N,Pseudo R2
Binary (1): Bivariate,Intercept,-0.0775,0.1394,-0.556,0.5785,-0.3507,0.1958,,200,0.1608
Binary (1): Bivariate,directional,1.2227,0.2026,6.037,0.0,0.8257,1.6197,***,200,0.1608
Binary (2): + Year,Intercept,-0.0198,0.1436,-0.138,0.8902,-0.3012,0.2616,,200,0.1776
Binary (2): + Year,directional,1.1458,0.2072,5.53,0.0,0.7397,1.5519,***,200,0.1776
Binary (2): + Year,year_c,0.0329,0.0164,2.005,0.045,0.0007,0.0651,**,200,0.1776
Binary (3): + Author Count,Intercept,-1.0686,0.5319,-2.009,0.0445,-2.1111,-0.0261,**,200,0.1952
Binary (3): + Author Count,directional,1.182,0.2113,5.593,0.0,0.7678,1.5961,***,200,0.1952
Binary (3): + Author Count,year_c,0.0281,0.0166,1.686,0.0918,-0.0046,0.0607,*,200,0.1952
Binary (3): + Author Count,log_nauth,0.8315,0.4061,2.048,0.0406,0.0356,1.6274,**,200,0.1952
Binary (4): + ID Strategy,Intercept,-1.3866,0.569,-2.437,0.0148,-2.5019,-0.2714,**,200,0.2412
Binary (4): + ID Strategy,directional,1.225,0.22,5.567,0.0,0.7937,1.6562,***,200,0.2412
Binary (4): + ID Strategy,year_c,0.0212,0.017,1.25,0.2114,-0.0121,0.0545,,200,0.2412
Binary (4): + ID Strategy,log_nauth,0.824,0.4266,1.931,0.0534,-0.0121,1.6602,*,200,0.2412
Binary (4): + ID Strategy,quasi_exp,0.7167,0.22,3.258,0.0011,0.2856,1.1479,***,200,0.2412
