Specification,Variable,Coefficient,Std Error,z-stat,p-value,CI 2.5%,CI 97.5%,Significance,N,Pseudo R2
Spec 1: Bivariate,Intercept,-0.356,0.1112,-3.201,0.0014,-0.574,-0.138,***,296,0.1783
Spec 1: Bivariate,pos,1.2788,0.2047,6.248,0.0,0.8777,1.6799,***,296,0.1783
Spec 1: Bivariate,neg,1.3234,0.1926,6.872,0.0,0.9459,1.7009,***,296,0.1783
Spec 2: + Year,Intercept,-0.3445,0.1124,-3.065,0.0022,-0.5648,-0.1242,***,296,0.1796
Spec 2: + Year,pos,1.2736,0.205,6.214,0.0,0.8718,1.6753,***,296,0.1796
Spec 2: + Year,neg,1.2919,0.1974,6.543,0.0,0.9049,1.6788,***,296,0.1796
Spec 2: + Year,year_c,0.009,0.0125,0.721,0.4708,-0.0155,0.0336,,296,0.1796
Spec 3: + Decade FE,Intercept,-0.3509,0.174,-2.016,0.0438,-0.6919,-0.0098,**,296,0.182
Spec 3: + Decade FE,C(decade)[T.2010],-0.0913,0.2029,-0.45,0.6527,-0.489,0.3064,,296,0.182
Spec 3: + Decade FE,C(decade)[T.2020],0.1393,0.2244,0.621,0.5348,-0.3005,0.579,,296,0.182
Spec 3: + Decade FE,pos,1.2772,0.2052,6.223,0.0,0.8749,1.6795,***,296,0.182
Spec 3: + Decade FE,neg,1.3099,0.196,6.683,0.0,0.9258,1.694,***,296,0.182
Spec 4: + Author Count,Intercept,-0.2129,0.4051,-0.526,0.5991,-1.0068,0.581,,296,0.1799
Spec 4: + Author Count,pos,1.2683,0.2056,6.169,0.0,0.8654,1.6712,***,296,0.1799
Spec 4: + Author Count,neg,1.2882,0.1978,6.514,0.0,0.9006,1.6758,***,296,0.1799
Spec 4: + Author Count,year_c,0.01,0.0129,0.778,0.4366,-0.0152,0.0353,,296,0.1799
Spec 4: + Author Count,log_nauth,-0.1017,0.3012,-0.338,0.7355,-0.692,0.4886,,296,0.1799
