Specification,Variable,Coefficient,Std Error,z-stat,p-value,CI 2.5%,CI 97.5%,Significance,N,Pseudo R2
Spec 1: Bivariate,Intercept,-0.0597,0.1368,-0.436,0.6626,-0.3279,0.2085,,200,0.1626
Spec 1: Bivariate,pos,1.2466,0.2665,4.677,0.0,0.7242,1.769,***,200,0.1626
Spec 1: Bivariate,neg,1.2194,0.2424,5.03,0.0,0.7443,1.6946,***,200,0.1626
Spec 2: + Year,Intercept,-0.0018,0.1413,-0.013,0.9898,-0.2788,0.2752,,200,0.1778
Spec 2: + Year,pos,1.1978,0.2691,4.452,0.0,0.6704,1.7251,***,200,0.1778
Spec 2: + Year,neg,1.1113,0.2506,4.435,0.0,0.6202,1.6024,***,200,0.1778
Spec 2: + Year,year_c,0.0316,0.0166,1.906,0.0566,-0.0009,0.0642,*,200,0.1778
Spec 3: + Decade FE,Intercept,-0.1609,0.2062,-0.78,0.4353,-0.5651,0.2433,,200,0.1732
Spec 3: + Decade FE,C(decade)[T.2010],0.0363,0.2499,0.145,0.8844,-0.4534,0.526,,200,0.1732
Spec 3: + Decade FE,C(decade)[T.2020],0.3992,0.2901,1.376,0.1688,-0.1694,0.9679,,200,0.1732
Spec 3: + Decade FE,pos,1.2095,0.2683,4.509,0.0,0.6837,1.7353,***,200,0.1732
Spec 3: + Decade FE,neg,1.1802,0.2504,4.713,0.0,0.6894,1.6709,***,200,0.1732
Spec 4: + Author Count,Intercept,-0.9676,0.5294,-1.828,0.0676,-2.0052,0.0699,*,200,0.1928
Spec 4: + Author Count,pos,1.2134,0.2702,4.491,0.0,0.6839,1.7428,***,200,0.1928
Spec 4: + Author Count,neg,1.1371,0.2554,4.452,0.0,0.6365,1.6377,***,200,0.1928
Spec 4: + Author Count,year_c,0.0273,0.0168,1.626,0.104,-0.0056,0.0603,,200,0.1928
Spec 4: + Author Count,log_nauth,0.7696,0.4065,1.893,0.0583,-0.0271,1.5662,*,200,0.1928
Spec 5: + ID Strategy,Intercept,-1.3006,0.5692,-2.285,0.0223,-2.4161,-0.185,**,200,0.2408
Spec 5: + ID Strategy,pos,1.2278,0.281,4.37,0.0,0.6772,1.7785,***,200,0.2408
Spec 5: + ID Strategy,neg,1.2279,0.2701,4.545,0.0,0.6984,1.7573,***,200,0.2408
Spec 5: + ID Strategy,year_c,0.0199,0.0172,1.16,0.2462,-0.0138,0.0536,,200,0.2408
Spec 5: + ID Strategy,log_nauth,0.762,0.4287,1.777,0.0755,-0.0782,1.6022,*,200,0.2408
Spec 5: + ID Strategy,quasi_exp,0.7336,0.2207,3.324,0.0009,0.301,1.1661,***,200,0.2408
