Specification,Variable,Coefficient,Std Error,z-stat,p-value,CI 2.5%,CI 97.5%,Significance,N,Pseudo R2
Journal = JF,Intercept,-0.915,0.1923,-4.758,0.0,-1.292,-0.5381,***,104.0,0.1004
Journal = JF,pos,0.9611,0.3411,2.818,0.0048,0.2926,1.6296,***,104.0,0.1004
Journal = JF,neg,0.992,0.3435,2.888,0.0039,0.3187,1.6653,***,104.0,0.1004
Journal = JF,year_c,-0.0096,0.0214,-0.451,0.6522,-0.0515,0.0322,,104.0,0.1004
Journal = RFS,Intercept,-0.8313,0.1861,-4.467,0.0,-1.1961,-0.4665,***,131.0,0.2306
Journal = RFS,pos,1.1626,0.3227,3.602,0.0003,0.53,1.7951,***,131.0,0.2306
Journal = RFS,neg,1.4986,0.2902,5.165,0.0,0.9299,2.0673,***,131.0,0.2306
Journal = RFS,year_c,0.0257,0.0208,1.236,0.2166,-0.0151,0.0665,,131.0,0.2306
Journal = JFE,Intercept,-0.626,0.1659,-3.774,0.0002,-0.9512,-0.3009,***,142.0,0.2025
Journal = JFE,pos,1.2807,0.2869,4.464,0.0,0.7184,1.843,***,142.0,0.2025
Journal = JFE,neg,1.1992,0.2772,4.326,0.0,0.6559,1.7426,***,142.0,0.2025
Journal = JFE,year_c,0.0471,0.0196,2.401,0.0164,0.0087,0.0856,**,142.0,0.2025
Cross-journal: JF vs RFS (β_pos diff),pos_diff,-0.2014,0.4696,-0.429,0.6679,,,,,
Cross-journal: JF vs JFE (β_pos diff),pos_diff,-0.3195,0.4457,-0.717,0.4734,,,,,
Cross-journal: RFS vs JFE (β_pos diff),pos_diff,-0.1181,0.4318,-0.273,0.7845,,,,,
