table,variable,coef,se,z_abs,stars,spec,paper_title,journal,year,direction,positive,negative,estimated,note,t_stat,dependent,panel,leverage_measure,asset_class,pvalue,pvalue_bootstrap,pval
Table (unnamed - main regression),Shareholder protection,-0.18,0.03,6.0,***,Col (1),Cross-country determinants of mergers and acquisitions,JFE,2004,1,True,False,,,,,,,,,,
Table (unnamed - main regression),Shareholder protection,-0.13,0.03,4.333,***,Col (2),Cross-country determinants of mergers and acquisitions,JFE,2004,1,True,False,,,,,,,,,,
Table (unnamed - main regression),Shareholder protection,-0.14,0.03,4.667,***,Col (3),Cross-country determinants of mergers and acquisitions,JFE,2004,1,True,False,,,,,,,,,,
Table (unnamed - main regression),Shareholder protection,-0.08,0.03,2.667,**,Col (4),Cross-country determinants of mergers and acquisitions,JFE,2004,1,True,False,,,,,,,,,,
Table (unnamed - main regression),Shareholder protection,-0.15,0.02,7.5,***,Col (5),Cross-country determinants of mergers and acquisitions,JFE,2004,1,True,False,,,,,,,,,,
Table (unnamed - main regression),Shareholder protection,-0.16,0.04,4.0,***,Col (6),Cross-country determinants of mergers and acquisitions,JFE,2004,1,True,False,,,,,,,,,,
Table (unnamed - main regression),Target size,-0.06,0.01,6.0,***,Col (1),Cross-country determinants of mergers and acquisitions,JFE,2004,1,True,False,,,,,,,,,,
Table (unnamed - main regression),Target size,-0.07,0.02,3.5,***,Col (2),Cross-country determinants of mergers and acquisitions,JFE,2004,1,True,False,,,,,,,,,,
Table (unnamed - main regression),Target size,-0.07,0.02,3.5,***,Col (3),Cross-country determinants of mergers and acquisitions,JFE,2004,1,True,False,,,,,,,,,,
Table (unnamed - main regression),Target size,-0.02,0.02,1.0,,Col (4),Cross-country determinants of mergers and acquisitions,JFE,2004,1,True,False,,,,,,,,,,
Table (unnamed - main regression),Target size,-0.08,0.02,4.0,***,Col (5),Cross-country determinants of mergers and acquisitions,JFE,2004,1,True,False,,,,,,,,,,
Table (unnamed - main regression),Target size,-0.08,0.02,4.0,***,Col (6),Cross-country determinants of mergers and acquisitions,JFE,2004,1,True,False,,,,,,,,,,
Table (unnamed - main regression),Cross-border,0.17,0.04,4.25,***,Col (1),Cross-country determinants of mergers and acquisitions,JFE,2004,1,True,False,,,,,,,,,,
Table (unnamed - main regression),Cross-border,0.14,0.05,2.8,***,Col (2),Cross-country determinants of mergers and acquisitions,JFE,2004,1,True,False,,,,,,,,,,
Table (unnamed - main regression),Cross-border,0.21,0.05,4.2,***,Col (3),Cross-country determinants of mergers and acquisitions,JFE,2004,1,True,False,,,,,,,,,,
Table (unnamed - main regression),Cross-border,0.14,0.04,3.5,**,Col (4),Cross-country determinants of mergers and acquisitions,JFE,2004,1,True,False,,,,,,,,,,
Table (unnamed - main regression),Cross-border,0.14,0.05,2.8,***,Col (5),Cross-country determinants of mergers and acquisitions,JFE,2004,1,True,False,,,,,,,,,,
Table (unnamed - main regression),Hostile bid,0.1,0.04,2.5,***,Col (2),Cross-country determinants of mergers and acquisitions,JFE,2004,1,True,False,,,,,,,,,,
Table (unnamed - main regression),Hostile bid,0.09,0.04,2.25,**,Col (3),Cross-country determinants of mergers and acquisitions,JFE,2004,1,True,False,,,,,,,,,,
Table (unnamed - main regression),Hostile bid,0.08,0.08,1.0,,Col (4),Cross-country determinants of mergers and acquisitions,JFE,2004,1,True,False,,,,,,,,,,
Table (unnamed - main regression),Hostile bid,0.1,0.04,2.5,**,Col (5),Cross-country determinants of mergers and acquisitions,JFE,2004,1,True,False,,,,,,,,,,
Table (unnamed - main regression),Hostile bid,0.09,0.04,2.25,***,Col (6),Cross-country determinants of mergers and acquisitions,JFE,2004,1,True,False,,,,,,,,,,
Table (unnamed - main regression),Tender offer,0.33,0.08,4.125,***,Col (1),Cross-country determinants of mergers and acquisitions,JFE,2004,1,True,False,,,,,,,,,,
Table (unnamed - main regression),Tender offer,0.32,0.08,4.0,***,Col (2),Cross-country determinants of mergers and acquisitions,JFE,2004,1,True,False,,,,,,,,,,
Table (unnamed - main regression),Tender offer,0.36,0.11,3.273,***,Col (3),Cross-country determinants of mergers and acquisitions,JFE,2004,1,True,False,,,,,,,,,,
Table (unnamed - main regression),Tender offer,0.34,0.09,3.778,***,Col (4),Cross-country determinants of mergers and acquisitions,JFE,2004,1,True,False,,,,,,,,,,
Table (unnamed - main regression),Tender offer,0.37,0.08,4.625,***,Col (5),Cross-country determinants of mergers and acquisitions,JFE,2004,1,True,False,,,,,,,,,,
Table (unnamed - main regression),Contested bid,0.04,0.04,1.0,,Col (1),Cross-country determinants of mergers and acquisitions,JFE,2004,1,True,False,,,,,,,,,,
Table (unnamed - main regression),Contested bid,0.04,0.04,1.0,,Col (2),Cross-country determinants of mergers and acquisitions,JFE,2004,1,True,False,,,,,,,,,,
Table (unnamed - main regression),Contested bid,0.12,0.07,1.714,,Col (3),Cross-country determinants of mergers and acquisitions,JFE,2004,1,True,False,,,,,,,,,,
Table (unnamed - main regression),Contested bid,0.05,0.04,1.25,,Col (4),Cross-country determinants of mergers and acquisitions,JFE,2004,1,True,False,,,,,,,,,,
Table (unnamed - main regression),Contested bid,0.04,0.04,1.0,,Col (5),Cross-country determinants of mergers and acquisitions,JFE,2004,1,True,False,,,,,,,,,,
Table (unnamed - main regression),D(Shareholder protection),-0.06,0.01,6.0,***,Col (2),Cross-country determinants of mergers and acquisitions,JFE,2004,1,True,False,,,,,,,,,,
Table (unnamed - main regression),D(Shareholder protection),-0.01,0.03,0.333,,Col (3),Cross-country determinants of mergers and acquisitions,JFE,2004,1,True,False,,,,,,,,,,
